part_no,part_name,model,customer,cav,cycle_time,weight_part,weight_runner,spq,type_material,grade_material,color_material,mold_id,machine_id,scrap_rate,changeover_min
PN-1240-A,Cover Outer,MDL-52,LG Electronics,1,63.6,471.18,87.15,500,ABS,ABS-HI-121,Red,MLD-758,MC-08 (650T),2.77,120
PN-7307-A,Bracket Rear,MDL-43,Yamaha Music,16,38.7,298.12,44.93,500,PA6,PA6-Standard,Black,MLD-404,MC-07 (450T),1.34,30
PN-6472-B,Housing Outer,MDL-83,LG Electronics,4,53.3,382.15,35.61,1000,PA6,PA6-V0-55,Grey,MLD-755,MC-06 (350T),1.51,30
PN-2385-C,Cap Inner,MDL-31,Yamaha Music,16,63.8,490.65,83.73,100,POM,POM-GP-100,Natural,MLD-524,MC-06 (350T),0.94,30
PN-3623-B,Bracket Outer,MDL-39,Samsung,16,41.5,359.73,25.03,1000,PMMA,PMMA-HI-121,White,MLD-422,MC-05 (250T),1.37,90
PN-1215-B,Gear Rear,MDL-33,Astra Honda,1,66.6,467.22,77.44,200,PMMA,PMMA-GP-100,Red,MLD-975,MC-08 (650T),1.29,120
PN-2553-B,Bracket Inner,MDL-83,Yamaha Music,1,27.9,114.47,6.45,100,PA6,PA6-HI-121,Blue,MLD-903,MC-04 (150T),0.57,120
PN-5182-A,Housing Front,MDL-81,LG Electronics,8,46.9,278.55,36.28,50,PP,PP-Standard,White,MLD-856,MC-05 (250T),2.28,120
PN-9397-C,Cap Inner,MDL-65,Toyota Motor,1,20.8,88.02,11.12,1000,PC,PC-GP-100,Natural,MLD-881,MC-03 (110T),1.15,30
PN-9984-C,Housing Rear,MDL-69,Toyota Motor,16,27.8,195.94,36.14,200,PC,PC-HI-121,Black,MLD-345,MC-02 (80T),2.66,30
PN-3396-A,Lever Inner,MDL-24,Samsung,16,55,427.31,64.35,50,PA6,PA6-GF-30,Grey,MLD-591,MC-08 (650T),0.64,45
PN-7490-B,Panel Outer,MDL-49,LG Electronics,16,53.1,454.24,71.44,50,ABS,ABS-V0-55,Black,MLD-847,MC-05 (250T),0.77,60
PN-2510-B,Bracket Inner,MDL-84,Toyota Motor,4,51.7,453.28,44.35,50,PP,PP-HI-121,Natural,MLD-918,MC-05 (250T),0.59,60
PN-7807-B,Gear Outer,MDL-23,Astra Honda,1,53,382.67,37.44,100,POM,POM-GF-30,Red,MLD-918,MC-08 (650T),0.91,30
PN-5565-A,Bracket Rear,MDL-21,Samsung,16,19.2,30.08,2.44,200,PA6,PA6-V0-55,White,MLD-388,MC-01 (50T),2.69,60
PN-5313-B,Lever Front,MDL-93,Samsung,16,26.3,202.75,37.7,100,PP,PP-GP-100,Black,MLD-506,MC-08 (650T),1.02,120
PN-9315-A,Cover Rear,MDL-21,Toyota Motor,2,15.3,94.2,8.08,200,POM,POM-HI-121,Natural,MLD-149,MC-03 (110T),1.69,60
PN-5548-C,Panel Rear,MDL-80,Yamaha Music,4,41.5,333.55,55.95,200,PP,PP-GP-100,Red,MLD-171,MC-07 (450T),2.95,60
PN-3989-B,Cover Outer,MDL-45,Samsung,2,16.8,29.01,2.86,100,PA6,PA6-V0-55,Red,MLD-631,MC-02 (80T),2.29,120
PN-6770-C,Lever Outer,MDL-11,Toyota Motor,4,36.5,234.4,21.31,200,PMMA,PMMA-HI-121,Black,MLD-243,MC-06 (350T),1.85,120
PN-1004-A,Cover Inner,MDL-99,Astra Honda,8,22.1,59.65,5,200,PC,PC-HI-121,Blue,MLD-124,MC-01 (50T),1.85,60
PN-9291-A,Panel Outer,MDL-44,Samsung,4,58.2,472.13,47.47,50,PP,PP-V0-55,Black,MLD-450,MC-06 (350T),1.83,120
PN-6367-B,Cover Outer,MDL-72,Samsung,1,24.6,177.42,21.73,200,POM,POM-HI-121,Blue,MLD-390,MC-03 (110T),0.81,90
PN-7235-C,Panel Inner,MDL-43,Toyota Motor,1,55.6,381.5,29.2,200,PMMA,PMMA-Standard,Red,MLD-544,MC-06 (350T),1.83,120
PN-2359-A,Cap Outer,MDL-53,Samsung,4,30.4,234,39.78,100,POM,POM-V0-55,Grey,MLD-644,MC-05 (250T),0.79,45
PN-5706-B,Panel Front,MDL-57,Astra Honda,2,22,37.5,4.08,50,PA6,PA6-HI-121,Natural,MLD-296,MC-04 (150T),1.77,90
PN-8386-A,Housing Front,MDL-16,Samsung,16,15.2,25.64,3.27,500,PP,PP-HI-121,Blue,MLD-419,MC-01 (50T),1.08,45
PN-3863-B,Panel Inner,MDL-69,Toyota Motor,4,57.8,471.9,81.6,200,ABS,ABS-GF-30,Black,MLD-967,MC-05 (250T),1.08,90
PN-4351-A,Bracket Front,MDL-80,LG Electronics,1,63.2,481.19,32.37,100,PA6,PA6-HI-121,Natural,MLD-138,MC-08 (650T),1.37,30
PN-4412-C,Cover Rear,MDL-23,Toyota Motor,16,59.9,457.72,61.25,500,PMMA,PMMA-Standard,Natural,MLD-146,MC-06 (350T),1.64,60
PN-5696-C,Cover Outer,MDL-55,Toyota Motor,4,19.2,66.7,11.51,50,PP,PP-HI-121,Grey,MLD-455,MC-01 (50T),1.35,120
PN-5679-C,Housing Rear,MDL-48,Astra Honda,16,25.5,117.68,17.03,500,PMMA,PMMA-GF-30,Black,MLD-680,MC-01 (50T),1.75,120
PN-8569-A,Panel Outer,MDL-95,Samsung,4,33.3,199.64,24.66,200,PA6,PA6-GF-30,Grey,MLD-570,MC-02 (80T),1.99,60
PN-2877-A,Lever Front,MDL-84,Samsung,8,49.9,407.22,30.02,200,PA6,PA6-V0-55,Black,MLD-346,MC-07 (450T),1.13,120
PN-2237-C,Panel Rear,MDL-44,Yamaha Music,2,52,338.37,41.09,100,PA6,PA6-HI-121,White,MLD-591,MC-05 (250T),0.78,90
PN-7849-A,Bracket Inner,MDL-74,LG Electronics,1,40.3,261.97,18.23,1000,PA6,PA6-Standard,Grey,MLD-160,MC-05 (250T),1.67,90
PN-9737-C,Bracket Inner,MDL-30,Yamaha Music,2,41.2,357.45,65.66,500,ABS,ABS-HI-121,White,MLD-474,MC-06 (350T),0.62,60
PN-7660-A,Cover Front,MDL-36,Toyota Motor,2,47.6,320.59,25.1,100,PMMA,PMMA-HI-121,Black,MLD-623,MC-08 (650T),2.57,120
PN-5000-A,Panel Rear,MDL-89,Astra Honda,2,49.1,378.22,53.16,1000,PC,PC-GP-100,Blue,MLD-669,MC-07 (450T),2.68,30
PN-2449-C,Bracket Inner,MDL-94,LG Electronics,8,54.4,464.54,85.06,1000,POM,POM-Standard,Grey,MLD-868,MC-06 (350T),1.9,120
PN-6082-A,Cover Front,MDL-83,Toyota Motor,1,27,103.14,9.79,100,PA6,PA6-GP-100,White,MLD-733,MC-02 (80T),1.33,45
PN-2092-A,Panel Outer,MDL-97,LG Electronics,2,46.8,289.9,49.16,1000,PP,PP-GP-100,Natural,MLD-254,MC-05 (250T),0.51,45
PN-9369-A,Gear Rear,MDL-55,Samsung,1,23.3,47.77,3.67,1000,PA6,PA6-Standard,Blue,MLD-817,MC-01 (50T),0.99,30
PN-3881-A,Panel Front,MDL-54,Toyota Motor,1,62.1,490.54,36.74,100,ABS,ABS-Standard,Grey,MLD-968,MC-06 (350T),0.9,45
PN-8191-C,Housing Outer,MDL-33,Astra Honda,1,54.7,431.74,79.62,50,PP,PP-HI-121,Blue,MLD-596,MC-07 (450T),0.77,90
PN-3786-A,Lever Inner,MDL-64,Yamaha Music,16,41.8,232.85,34.44,50,PMMA,PMMA-HI-121,Black,MLD-499,MC-07 (450T),2.27,90
PN-5572-C,Lever Rear,MDL-36,LG Electronics,8,40.3,232.44,31.12,500,POM,POM-GF-30,White,MLD-323,MC-06 (350T),2.5,30
PN-9752-A,Cover Front,MDL-44,Astra Honda,1,21.3,93.48,5.15,200,ABS,ABS-Standard,Grey,MLD-970,MC-01 (50T),2.91,45
PN-5466-C,Housing Inner,MDL-56,LG Electronics,16,29,151.83,27.59,50,ABS,ABS-V0-55,White,MLD-838,MC-03 (110T),2.23,45
PN-3833-B,Cover Rear,MDL-49,LG Electronics,1,25.4,175.93,16.31,50,ABS,ABS-V0-55,Grey,MLD-912,MC-01 (50T),0.67,60
PN-8023-A,Lever Front,MDL-16,Yamaha Music,16,43.1,363.39,43.35,1000,PA6,PA6-V0-55,Grey,MLD-920,MC-06 (350T),1.66,60
PN-9317-B,Housing Outer,MDL-36,Astra Honda,8,23.1,109.12,11.67,200,PC,PC-Standard,Natural,MLD-424,MC-02 (80T),1.38,90
PN-7542-C,Cover Outer,MDL-12,Samsung,2,62.1,463.73,88.7,100,PP,PP-HI-121,Blue,MLD-257,MC-07 (450T),0.56,45
PN-5360-C,Housing Inner,MDL-30,Toyota Motor,4,13.6,50.1,8.84,100,POM,POM-GF-30,Blue,MLD-268,MC-01 (50T),1.95,60
PN-9135-C,Housing Front,MDL-87,Toyota Motor,4,30.1,107.62,14.05,100,ABS,ABS-V0-55,Natural,MLD-649,MC-04 (150T),2.93,120
PN-2344-C,Cap Rear,MDL-17,Samsung,16,50.2,443.03,65.79,50,ABS,ABS-GP-100,Natural,MLD-329,MC-07 (450T),2.71,45
PN-3111-B,Housing Inner,MDL-21,Toyota Motor,16,31.4,199.75,31.02,50,PA6,PA6-Standard,Grey,MLD-924,MC-04 (150T),2.05,90
PN-5472-B,Cap Rear,MDL-18,Astra Honda,2,29.2,160.37,24.51,500,POM,POM-GP-100,White,MLD-952,MC-02 (80T),1.95,45
PN-2235-B,Lever Front,MDL-89,Samsung,4,55.5,462.47,76.77,200,ABS,ABS-HI-121,White,MLD-487,MC-06 (350T),2.73,90
PN-9372-B,Cover Outer,MDL-73,Astra Honda,8,33.6,159.08,11.47,100,ABS,ABS-V0-55,Black,MLD-911,MC-02 (80T),1.01,45
PN-9774-C,Panel Rear,MDL-30,LG Electronics,8,16.5,43.82,4.08,1000,POM,POM-GF-30,Blue,MLD-410,MC-01 (50T),1.86,45
PN-6506-A,Cover Inner,MDL-98,Astra Honda,8,34.1,246.48,28.54,1000,PP,PP-Standard,Grey,MLD-444,MC-07 (450T),2,120
PN-9171-B,Cap Rear,MDL-43,Yamaha Music,16,34.4,145.31,23.83,1000,PP,PP-V0-55,Blue,MLD-803,MC-03 (110T),1.57,30
PN-5895-C,Bracket Rear,MDL-92,LG Electronics,16,46.6,271.99,31.16,500,PA6,PA6-HI-121,Red,MLD-275,MC-05 (250T),1,120
PN-2737-C,Gear Front,MDL-56,Samsung,4,23.1,65.12,5.82,1000,POM,POM-Standard,Black,MLD-663,MC-02 (80T),2.24,30
PN-5598-C,Lever Rear,MDL-20,Samsung,1,21.7,144.79,28.07,500,PC,PC-V0-55,Blue,MLD-345,MC-04 (150T),0.79,120
PN-5196-A,Gear Rear,MDL-62,Toyota Motor,16,13.6,78.54,13.64,200,PMMA,PMMA-GP-100,Natural,MLD-649,MC-03 (110T),0.64,90
PN-6266-B,Cap Rear,MDL-72,Toyota Motor,16,63.8,460.33,34.1,1000,PA6,PA6-HI-121,Grey,MLD-357,MC-07 (450T),1.37,30
PN-1287-C,Panel Outer,MDL-61,Yamaha Music,1,16.4,109.82,14.1,50,ABS,ABS-HI-121,Grey,MLD-303,MC-02 (80T),2.93,60
PN-4639-B,Bracket Front,MDL-42,Yamaha Music,8,31.6,130.97,22.28,500,POM,POM-HI-121,Natural,MLD-720,MC-03 (110T),0.63,120
PN-1237-B,Bracket Rear,MDL-95,Toyota Motor,16,53.3,405.35,42.25,200,ABS,ABS-V0-55,Blue,MLD-988,MC-07 (450T),1.96,90
PN-1638-C,Cap Front,MDL-31,LG Electronics,2,51.8,380.18,27.28,50,POM,POM-HI-121,Natural,MLD-429,MC-06 (350T),1.53,45
PN-2736-A,Lever Front,MDL-40,Toyota Motor,16,31.5,230.76,11.58,200,PP,PP-HI-121,Red,MLD-448,MC-08 (650T),1.59,45
PN-5597-B,Lever Outer,MDL-76,LG Electronics,8,65.7,472.51,86.21,200,PC,PC-GF-30,White,MLD-741,MC-05 (250T),0.71,30
PN-9674-B,Gear Rear,MDL-46,Samsung,2,35.8,169.88,20.18,1000,PC,PC-GF-30,Red,MLD-477,MC-01 (50T),1.55,90
PN-9254-A,Gear Outer,MDL-37,Astra Honda,2,18.2,90.15,4.58,200,PMMA,PMMA-GF-30,Red,MLD-509,MC-01 (50T),2.9,120
PN-5588-B,Lever Outer,MDL-88,Yamaha Music,16,51,375.68,46.92,200,PMMA,PMMA-V0-55,Black,MLD-502,MC-08 (650T),1.73,30
PN-4858-C,Cap Outer,MDL-54,Toyota Motor,1,52,391.18,47.78,50,POM,POM-V0-55,Red,MLD-376,MC-08 (650T),1.64,60
PN-3310-A,Cap Outer,MDL-53,Yamaha Music,2,18.1,109.71,12.34,1000,PMMA,PMMA-GP-100,Grey,MLD-285,MC-02 (80T),0.54,30
PN-9985-C,Bracket Rear,MDL-65,Samsung,16,39.9,267.86,36.69,1000,PC,PC-Standard,White,MLD-625,MC-07 (450T),0.86,60
PN-9082-B,Panel Inner,MDL-41,LG Electronics,2,15.9,89.66,5.07,200,PMMA,PMMA-GP-100,Blue,MLD-931,MC-01 (50T),2.7,90
PN-9376-A,Cap Outer,MDL-95,Yamaha Music,4,26.4,72.22,8.08,500,PA6,PA6-GP-100,Black,MLD-417,MC-02 (80T),1.56,120
PN-6469-B,Cover Front,MDL-85,Astra Honda,8,35.8,246.28,23.7,100,PMMA,PMMA-Standard,Blue,MLD-529,MC-05 (250T),0.83,60
PN-3851-A,Bracket Front,MDL-88,LG Electronics,2,45.9,338,21.49,100,PP,PP-V0-55,White,MLD-602,MC-07 (450T),1.53,90
PN-4505-B,Panel Front,MDL-99,Toyota Motor,2,26.6,147.13,20.78,1000,ABS,ABS-V0-55,Red,MLD-142,MC-01 (50T),2.64,90
PN-3596-A,Bracket Outer,MDL-82,LG Electronics,4,47.2,313.68,29.6,500,ABS,ABS-GP-100,Natural,MLD-756,MC-05 (250T),1.41,90
PN-4559-C,Bracket Rear,MDL-17,Yamaha Music,16,47.9,427.38,78.64,200,PA6,PA6-V0-55,Red,MLD-545,MC-06 (350T),0.96,60
PN-8169-A,Cap Inner,MDL-12,Yamaha Music,16,23.3,85.08,10.17,500,PMMA,PMMA-GF-30,Natural,MLD-572,MC-03 (110T),0.8,45
PN-9086-A,Housing Outer,MDL-26,Samsung,4,45.4,257.89,37.22,50,PA6,PA6-GP-100,Blue,MLD-233,MC-05 (250T),0.57,45
PN-8181-A,Panel Outer,MDL-81,Samsung,16,59.4,404.69,68.77,1000,PC,PC-HI-121,Red,MLD-587,MC-06 (350T),1.59,90
PN-8823-C,Cap Front,MDL-32,LG Electronics,2,10.6,37.25,2.14,500,ABS,ABS-V0-55,Natural,MLD-512,MC-04 (150T),2.68,120
PN-5164-B,Cover Front,MDL-40,Toyota Motor,2,35.9,218.45,16.73,100,PA6,PA6-GF-30,Natural,MLD-668,MC-05 (250T),0.7,120
PN-9508-A,Cap Inner,MDL-77,LG Electronics,4,33.7,152.92,16.4,500,ABS,ABS-V0-55,Red,MLD-649,MC-01 (50T),0.7,60
PN-3838-A,Panel Inner,MDL-13,Samsung,2,52.6,391.22,56.21,100,PMMA,PMMA-GF-30,Natural,MLD-554,MC-05 (250T),2.13,120
PN-2854-C,Housing Outer,MDL-89,Toyota Motor,8,53.4,439.11,30.6,500,PMMA,PMMA-Standard,Natural,MLD-517,MC-07 (450T),1.39,60
PN-9579-B,Panel Outer,MDL-35,LG Electronics,2,34.4,156.68,12.84,100,PP,PP-HI-121,Red,MLD-621,MC-03 (110T),1.34,30
PN-4004-A,Bracket Inner,MDL-87,Samsung,1,60.7,449.22,69.71,500,PP,PP-HI-121,Natural,MLD-709,MC-07 (450T),0.92,120
PN-2233-A,Cover Rear,MDL-33,LG Electronics,16,26.6,84.05,6.13,1000,PMMA,PMMA-GF-30,Natural,MLD-615,MC-01 (50T),1.37,45
PN-2849-A,Gear Outer,MDL-21,Astra Honda,8,25.8,134.54,10.39,500,PA6,PA6-GP-100,White,MLD-660,MC-01 (50T),1.99,30
PN-8666-A,Gear Outer,MDL-11,Toyota Motor,1,36.6,211.1,15.52,100,PP,PP-V0-55,White,MLD-937,MC-06 (350T),2.07,120
PN-4725-C,Cover Outer,MDL-74,Astra Honda,2,15.2,95.07,5.85,500,PC,PC-GF-30,Black,MLD-704,MC-02 (80T),2.93,90
PN-6143-B,Panel Inner,MDL-93,Toyota Motor,1,18.1,28.41,4.69,200,PMMA,PMMA-Standard,Grey,MLD-760,MC-04 (150T),2.91,60
PN-9340-B,Bracket Rear,MDL-59,Yamaha Music,2,33.7,230.87,12.46,500,PMMA,PMMA-GP-100,White,MLD-896,MC-08 (650T),2.07,45
PN-1086-A,Gear Inner,MDL-48,Toyota Motor,1,39.2,302.66,26.72,100,PMMA,PMMA-GP-100,Blue,MLD-730,MC-05 (250T),1.49,90
PN-1172-B,Lever Front,MDL-16,Astra Honda,8,34,286.98,14.81,100,PMMA,PMMA-Standard,Black,MLD-706,MC-07 (450T),0.84,30
PN-6706-B,Panel Rear,MDL-80,Toyota Motor,16,14.5,78.24,14.31,100,PC,PC-V0-55,Red,MLD-319,MC-04 (150T),0.58,90
PN-9032-C,Panel Rear,MDL-42,Yamaha Music,4,29.4,106.89,21.07,50,PP,PP-GF-30,White,MLD-332,MC-03 (110T),2.47,60
PN-5801-A,Gear Inner,MDL-68,LG Electronics,2,24.9,175.46,15.62,50,PMMA,PMMA-GF-30,Red,MLD-650,MC-02 (80T),2.42,30
PN-8607-A,Cover Inner,MDL-29,Yamaha Music,16,40.5,247.99,24.89,500,PA6,PA6-GF-30,Blue,MLD-856,MC-06 (350T),2.85,120
PN-4659-A,Lever Outer,MDL-99,Yamaha Music,2,31.4,186.35,15.26,100,PMMA,PMMA-V0-55,White,MLD-816,MC-02 (80T),0.9,30
PN-4619-C,Panel Inner,MDL-36,Toyota Motor,8,64.7,480.1,93.36,200,PMMA,PMMA-GP-100,Red,MLD-372,MC-07 (450T),2.42,60
PN-9875-A,Housing Front,MDL-39,Toyota Motor,16,46.5,312.68,39.52,200,PMMA,PMMA-GF-30,Blue,MLD-832,MC-06 (350T),1.07,90
PN-8853-B,Gear Rear,MDL-63,Samsung,4,52,410,42.65,100,PA6,PA6-HI-121,White,MLD-271,MC-07 (450T),2.68,90
PN-8382-C,Gear Inner,MDL-68,Toyota Motor,8,48.2,301.54,59.4,200,PMMA,PMMA-GF-30,Black,MLD-874,MC-05 (250T),0.81,90
PN-9152-B,Bracket Inner,MDL-24,LG Electronics,4,19.7,61.94,5.79,500,PC,PC-V0-55,Red,MLD-303,MC-01 (50T),1.49,45
PN-3774-C,Bracket Outer,MDL-11,LG Electronics,4,18.8,81.13,6.7,500,ABS,ABS-GP-100,White,MLD-985,MC-04 (150T),1.72,45
PN-2036-C,Gear Rear,MDL-74,Samsung,4,46.4,297.92,28.64,1000,PA6,PA6-HI-121,White,MLD-260,MC-06 (350T),2.75,120
PN-5267-A,Cap Inner,MDL-55,LG Electronics,1,9.9,23.69,2.2,1000,PP,PP-GP-100,Black,MLD-241,MC-02 (80T),2.75,30
PN-7802-A,Gear Front,MDL-96,Yamaha Music,16,45.3,339.43,60.62,200,PA6,PA6-GP-100,Grey,MLD-592,MC-07 (450T),2.92,60
PN-8592-B,Housing Rear,MDL-72,LG Electronics,16,44,327.76,53.91,50,PP,PP-HI-121,Blue,MLD-337,MC-06 (350T),0.65,120
PN-4201-A,Housing Rear,MDL-47,Samsung,2,28.5,86.55,17.14,500,PA6,PA6-GF-30,Natural,MLD-596,MC-02 (80T),0.53,45
PN-5762-A,Housing Rear,MDL-81,Toyota Motor,16,21.1,31.85,2.85,100,PA6,PA6-GP-100,Blue,MLD-699,MC-04 (150T),1.3,60
PN-9106-C,Panel Rear,MDL-75,Yamaha Music,1,46.4,373.69,48.86,1000,PP,PP-V0-55,Red,MLD-419,MC-05 (250T),1.61,30
PN-4899-A,Gear Rear,MDL-83,LG Electronics,1,53,400.33,31.47,200,ABS,ABS-GF-30,Black,MLD-278,MC-08 (650T),0.96,120
PN-3015-A,Housing Rear,MDL-84,Toyota Motor,16,36.3,218.56,37.15,500,PMMA,PMMA-GF-30,Black,MLD-363,MC-06 (350T),1.09,30
PN-2928-A,Housing Front,MDL-85,Samsung,1,18,109.31,15.66,100,POM,POM-HI-121,White,MLD-424,MC-04 (150T),2.18,30
PN-8193-C,Panel Inner,MDL-22,Astra Honda,16,63.8,441.87,32.54,200,POM,POM-GF-30,Red,MLD-343,MC-05 (250T),1.04,45
PN-4948-C,Bracket Inner,MDL-70,Astra Honda,8,45.7,332.47,39.32,50,PC,PC-Standard,Blue,MLD-916,MC-08 (650T),2.44,90
PN-7361-A,Panel Inner,MDL-25,LG Electronics,8,49.3,344.06,41.54,200,ABS,ABS-GP-100,Black,MLD-642,MC-07 (450T),2.7,60
PN-4487-C,Housing Outer,MDL-35,Yamaha Music,1,15.1,51.64,7.89,50,PMMA,PMMA-GF-30,Blue,MLD-291,MC-01 (50T),2.55,60
PN-5131-C,Housing Outer,MDL-75,LG Electronics,1,53.1,393.13,46.78,1000,ABS,ABS-HI-121,Blue,MLD-897,MC-06 (350T),2.29,120
PN-8599-C,Panel Rear,MDL-14,Astra Honda,2,46,401.78,64.99,100,PA6,PA6-GF-30,Grey,MLD-508,MC-08 (650T),1.36,90
PN-2905-C,Panel Inner,MDL-39,Samsung,4,14.7,78.13,14.98,50,PMMA,PMMA-GP-100,Grey,MLD-523,MC-04 (150T),2.25,120
PN-8356-A,Bracket Rear,MDL-68,Yamaha Music,16,41.7,293.71,48.73,100,PA6,PA6-GF-30,Blue,MLD-417,MC-05 (250T),1.45,90
PN-3309-C,Cap Front,MDL-56,Yamaha Music,16,52.6,431,53.89,1000,PMMA,PMMA-GP-100,Black,MLD-775,MC-05 (250T),1.34,90
PN-9159-A,Bracket Front,MDL-33,Astra Honda,2,56.6,406.44,26.89,1000,PC,PC-Standard,White,MLD-740,MC-06 (350T),1.64,120
PN-8785-B,Cap Rear,MDL-79,Toyota Motor,16,23.6,57.65,6.55,50,ABS,ABS-HI-121,Black,MLD-178,MC-03 (110T),0.73,45
PN-2455-A,Cap Front,MDL-32,LG Electronics,2,19.6,101.8,14.13,1000,PP,PP-V0-55,Black,MLD-590,MC-01 (50T),2.72,60
PN-6053-C,Cap Outer,MDL-84,Astra Honda,4,32.1,213.06,16.75,100,PC,PC-GP-100,Red,MLD-975,MC-07 (450T),2.24,45
PN-5264-A,Cap Rear,MDL-23,Astra Honda,8,14.8,13.7,1.76,1000,PP,PP-Standard,Black,MLD-163,MC-04 (150T),0.74,60
PN-3045-C,Cap Outer,MDL-13,Toyota Motor,16,28.2,143.92,11.47,50,POM,POM-V0-55,Blue,MLD-879,MC-03 (110T),0.82,60
PN-2473-C,Lever Inner,MDL-62,Samsung,8,25.4,113.14,14.88,1000,PC,PC-GP-100,Blue,MLD-840,MC-01 (50T),2.16,45
PN-5980-A,Cap Rear,MDL-27,LG Electronics,1,25.4,144.68,16.64,200,POM,POM-GF-30,Grey,MLD-759,MC-01 (50T),1.81,30
PN-8681-B,Cap Outer,MDL-81,Astra Honda,4,59.6,435.86,63.87,50,ABS,ABS-HI-121,Red,MLD-494,MC-05 (250T),1.78,45
PN-2976-C,Housing Front,MDL-67,Astra Honda,4,13,9.61,1.68,200,POM,POM-GF-30,Natural,MLD-230,MC-03 (110T),1.22,90
PN-5733-B,Cover Outer,MDL-68,Toyota Motor,16,57.2,442.56,26.49,200,PA6,PA6-HI-121,Red,MLD-738,MC-08 (650T),1.6,120
PN-6718-B,Housing Front,MDL-57,Astra Honda,16,56,453.31,47.4,200,PP,PP-GP-100,Black,MLD-760,MC-06 (350T),2.56,30
PN-8927-A,Cover Inner,MDL-24,Yamaha Music,16,24.8,101.54,6.64,100,PMMA,PMMA-Standard,White,MLD-222,MC-01 (50T),2.96,90
PN-1801-B,Gear Rear,MDL-16,Astra Honda,8,54.8,367.8,71.56,500,PP,PP-GF-30,Grey,MLD-693,MC-08 (650T),1.35,120
PN-8343-C,Cover Inner,MDL-18,Toyota Motor,1,41.9,356.61,41.84,200,PP,PP-GP-100,Black,MLD-195,MC-05 (250T),1.64,90
PN-8606-A,Lever Inner,MDL-95,Yamaha Music,4,24.8,103.59,6.95,200,PA6,PA6-V0-55,Natural,MLD-862,MC-01 (50T),2.08,60
PN-1082-B,Gear Inner,MDL-11,Toyota Motor,2,53.7,455.19,33.97,1000,PMMA,PMMA-GP-100,Red,MLD-295,MC-05 (250T),0.63,120
PN-4134-B,Lever Front,MDL-69,Yamaha Music,1,17.4,59.32,4.5,1000,PP,PP-GF-30,Grey,MLD-602,MC-03 (110T),2.07,45
PN-3251-B,Cover Outer,MDL-93,Toyota Motor,16,52.8,384.56,73.38,100,PC,PC-GF-30,Black,MLD-675,MC-08 (650T),1.07,60
PN-2578-A,Cap Rear,MDL-13,Toyota Motor,4,38.7,262.85,41.99,500,POM,POM-HI-121,Blue,MLD-575,MC-08 (650T),2.71,30
PN-6224-B,Bracket Front,MDL-39,Astra Honda,1,29.2,144.73,16.25,1000,PC,PC-HI-121,Blue,MLD-973,MC-04 (150T),0.68,30
PN-2186-C,Panel Inner,MDL-31,Samsung,1,20.1,16.14,2.8,1000,PP,PP-GF-30,Blue,MLD-809,MC-01 (50T),1.97,45
PN-8358-B,Gear Inner,MDL-30,Astra Honda,2,12.3,36.99,7.07,1000,PA6,PA6-GP-100,White,MLD-744,MC-04 (150T),0.71,45
PN-1545-C,Bracket Front,MDL-22,Astra Honda,8,43.6,295.99,35.14,100,PC,PC-HI-121,Natural,MLD-455,MC-06 (350T),2.41,60
PN-9598-B,Bracket Inner,MDL-25,Samsung,2,14.7,71.73,7.91,1000,PMMA,PMMA-V0-55,Black,MLD-408,MC-01 (50T),1.73,90
PN-1329-C,Housing Front,MDL-81,Samsung,2,57.5,486.37,47.72,500,PC,PC-Standard,Grey,MLD-571,MC-08 (650T),2.29,120
PN-6535-A,Bracket Front,MDL-47,Toyota Motor,2,39.6,311.4,40.64,1000,PC,PC-HI-121,White,MLD-681,MC-05 (250T),0.99,60
PN-7173-B,Cover Outer,MDL-69,Yamaha Music,1,11.8,31.72,1.96,100,PMMA,PMMA-Standard,White,MLD-331,MC-03 (110T),1.84,90
PN-1753-A,Lever Front,MDL-49,Yamaha Music,16,20.6,148.93,22.71,1000,PMMA,PMMA-HI-121,Natural,MLD-287,MC-04 (150T),2.86,60
PN-8552-A,Cap Front,MDL-58,Yamaha Music,8,33.4,245.37,42.63,50,POM,POM-GP-100,White,MLD-302,MC-05 (250T),1.2,60
PN-2369-C,Cover Outer,MDL-29,Toyota Motor,16,34.9,268.96,23.16,200,PP,PP-GP-100,White,MLD-511,MC-08 (650T),2.25,45
PN-8022-A,Gear Rear,MDL-61,Astra Honda,1,35.6,219.58,43.13,1000,ABS,ABS-GF-30,Grey,MLD-467,MC-05 (250T),1.85,120
PN-6272-B,Gear Front,MDL-76,Samsung,16,43.6,302.86,50.82,500,PP,PP-Standard,Blue,MLD-492,MC-08 (650T),2.84,60
PN-9501-B,Cover Rear,MDL-67,Yamaha Music,8,39,233.37,36.02,1000,POM,POM-V0-55,Black,MLD-119,MC-06 (350T),0.95,60
PN-9020-B,Housing Outer,MDL-56,Samsung,1,28.3,187.16,27.95,1000,POM,POM-GF-30,White,MLD-194,MC-03 (110T),2.76,45
PN-8917-C,Cover Rear,MDL-55,Astra Honda,16,54.7,379.5,63.09,50,PC,PC-Standard,Black,MLD-184,MC-07 (450T),0.52,30
PN-9905-A,Cap Inner,MDL-22,Samsung,16,37.4,249.75,33.81,1000,PC,PC-GF-30,Grey,MLD-798,MC-05 (250T),1.21,30
